"Index","Year","Age","Name",Gender,"Movie"
80,40,1967,45,"Paul Scofield",Male,"A Man for All Seasons"
81,41,1968,61,"Katharine Hepburn",Female,"The Lion in Winter"
82,41,1968,42,"Rod Steiger",Male,"In the Heat of the Night"
83,42,1969,26,"Barbra Streisand",Female,"Funny Girl"
84,42,1969,45,"Cliff Robertson",Male,"Charly"
85,43,1970,35,"Maggie Smith",Female,"The Prime of Miss Jean Brodie"
86,43,1970,62,"John Wayne",Male,"True Grit"
87,44,1971,34,"Glenda Jackson",Female,"Women in Love"
88,44,1971,43,"George C. Scott",Male,"Patton"
89,45,1972,34,"Jane Fonda",Female,"Klute"
90,45,1972,42,"Gene Hackman",Male,"The French Connection"
91,46,1973,27,"Liza Minnelli",Female,"Cabaret"
92,46,1973,48,"Marlon Brando",Male,"The Godfather"
93,47,1974,37,"Glenda Jackson",Female,"A Touch of Class"
94,47,1974,49,"Jack Lemmon",Male,"Save the Tiger"
95,48,1975,42,"Ellen Burstyn",Female,"Alice Doesn't Live Here Anymore"
96,48,1975,56,"Art Carney",Male,"Harry and Tonto"
97,49,1976,41,"Louise Fletcher",Female,"One Flew Over the Cuckoo's Nest"
98,49,1976,38,"Jack Nicholson",Male,"One Flew Over the Cuckoo's Nest"
99,50,1977,36,"Faye Dunaway",Female,"Network"
100,50,1977,60,"Peter Finch",Male,"Network"
101,51,1978,32,"Diane Keaton",Female,"Annie Hall"
102,51,1978,30,"Richard Dreyfuss",Male,"The Goodbye Girl"
103,52,1979,41,"Jane Fonda",Female,"Coming Home"
104,52,1979,40,"Jon Voight",Male,"Coming Home"
105,53,1980,33,"Sally Field",Female,"Norma Rae"
106,53,1980,42,"Dustin Hoffman",Male,"Kramer vs. Kramer"
107,54,1981,31,"Sissy Spacek",Female,"Coal Miner's Daughter"
108,54,1981,37,"Robert De Niro",Male,"Raging Bull"
109,55,1982,74,"Katharine Hepburn",Female,"On Golden Pond"
110,55,1982,76,"Henry Fonda",Male,"On Golden Pond"
111,56,1983,33,"Meryl Streep",Female,"Sophie's Choice"
112,56,1983,39,"Ben Kingsley",Male,"Gandhi"
113,57,1984,49,"Shirley MacLaine",Female,"Terms of Endearment"
114,57,1984,53,"Robert Duvall",Male,"Tender Mercies"
115,58,1985,38,"Sally Field",Female,"Places in the Heart"
116,58,1985,45,"F. Murray Abraham",Male,"Amadeus"
117,59,1986,61,"Geraldine Page",Female,"The Trip to Bountiful"
118,59,1986,36,"William Hurt",Male,"Kiss of the Spider Woman"
119,60,1987,21,"Marlee Matlin",Female,"Children of a Lesser God"
120,60,1987,62,"Paul Newman",Male,"The Color of Money"
121,61,1988,41,"Cher",Female,"Moonstruck"
122,61,1988,43,"Michael Douglas",Male,"Wall Street"
123,62,1989,26,"Jodie Foster",Female,"The Accused"
124,62,1989,51,"Dustin Hoffman",Male,"Rain Man"
125,63,1990,80,"Jessica Tandy",Female,"Driving Miss Daisy"
126,63,1990,32,"Daniel Day-Lewis",Male,"My Left Foot"
127,64,1991,42,"Kathy Bates",Female,"Misery"
128,64,1991,42,"Jeremy Irons",Male,"Reversal of Fortune"
129,65,1992,29,"Jodie Foster",Female,"The Silence of the Lambs"
130,65,1992,54,"Anthony Hopkins",Male,"The Silence of the Lambs"
131,66,1993,33,"Emma Thompson",Female,"Howards End"
132,66,1993,52,"Al Pacino",Male,"Scent of a Woman"
133,67,1994,36,"Holly Hunter",Female,"The Piano"
134,67,1994,37,"Tom Hanks",Male,"Philadelphia"
135,68,1995,45,"Jessica Lange",Female,"Blue Sky"
136,68,1995,38,"Tom Hanks",Male,"Forrest Gump"
137,69,1996,49,"Susan Sarandon",Female,"Dead Man Walking"
138,69,1996,32,"Nicolas Cage",Male,"Leaving Las Vegas"
139,70,1997,39,"Frances McDormand",Female,"Fargo"
140,70,1997,45,"Geoffrey Rush",Male,"Shine"
141,71,1998,34,"Helen Hunt",Female,"As Good as It Gets"
142,71,1998,60,"Jack Nicholson",Male,"As Good as It Gets"
143,72,1999,26,"Gwyneth Paltrow",Female,"Shakespeare in Love"
144,72,1999,46,"Roberto Benigni",Male,"Life Is Beautiful"
145,73,2000,25,"Hilary Swank",Female,"Boys Don't Cry"
146,73,2000,40,"Kevin Spacey",Male,"American Beauty"
147,74,2001,33,"Julia Roberts",Female,"Erin Brockovich"
148,74,2001,36,"Russell Crowe",Male,"Gladiator"
149,75,2002,35,"Halle Berry",Female,"Monster's Ball"
150,75,2002,47,"Denzel Washington",Male,"Training Day"
151,76,2003,35,"Nicole Kidman",Female,"The Hours"
152,76,2003,29,"Adrien Brody",Male,"The Pianist"
153,77,2004,28,"Charlize Theron",Female,"Monster"
154,77,2004,43,"Sean Penn",Male,"Mystic River"
155,78,2005,30,"Hilary Swank",Female,"Million Dollar Baby"
156,78,2005,37,"Jamie Foxx",Male,"Ray"
157,79,2006,29,"Reese Witherspoon",Female,"Walk the Line"
158,79,2006,38,"Philip Seymour Hoffman",Male,"Capote"
159,80,2007,61,"Helen Mirren",Female,"The Queen"
160,80,2007,45,"Forest Whitaker",Male,"The Last King of Scotland"
161,81,2008,32,"Marion Cotillard",Female,"La Vie en rose"
162,81,2008,50,"Daniel Day-Lewis",Male,"There Will Be Blood"
163,82,2009,33,"Kate Winslet",Female,"The Reader"
164,82,2009,48,"Sean Penn",Male,"Milk"
165,83,2010,45,"Sandra Bullock",Female,"The Blind Side"
166,83,2010,60,"Jeff Bridges",Male,"Crazy Heart"
167,84,2011,29,"Natalie Portman",Female,"Black Swan"
168,84,2011,50,"Colin Firth",Male,"The King's Speech"
169,85,2012,62,"Meryl Streep",Female,"The Iron Lady"
170,85,2012,39,"Jean Dujardin",Male,"The Artist"
171,86,2013,22,"Jennifer Lawrence",Female,"Silver Linings Playbook"
172,86,2013,55,"Daniel Day-Lewis",Male,"Lincoln"
173,87,2014,44,"Cate Blanchett",Female,"Blue Jasmine"
174,87,2014,44,"Matthew McConaughey",Male,"Dallas Buyers Club"
175,88,2015,54,"Julianne Moore",Female,"Still Alice"
176,88,2015,33,"Eddie Redmayne",Male,"The Theory of Everything"
177,89,2016,26,"Brie Larson",Female,"Room"
178,89,2016,41,"Leonardo DiCaprio",Male,"The Revenant"
